client,bank,target,alpha,DeltaJ,DeltaC,DeltaAcc
0,B,gaussian_blur,0.25,6.18254268417224,-0.0002601089277858848,1.6853932584269662
0,B,gaussian_blur,0.5,10.221877536744785,-0.0005101848565083962,3.3707865168539324
0,B,gaussian_blur,0.75,11.95863611212392,-0.0007707942985576933,5.056179775280899
0,B,gaussian_blur,1.0,11.47941947449339,-0.0010486733068077033,6.741573033707865
0,B,gaussian_blur,1.25,8.86035827437253,-0.0013423279533184632,8.98876404494382
0,B,gaussian_blur,1.5,4.161118281822059,-0.0016553343898749757,10.674157303370787
1,A,brightness_dark,0.0,0.0,0.0,0.0
1,A,brightness_dark,0.25,76.70016771929232,-0.0005619748522851575,3.0303030303030303
1,A,brightness_dark,0.5,126.62110366674935,-0.0012973282575194068,3.0303030303030303
1,A,brightness_dark,0.75,154.6179564645545,-0.0022240572775329413,7.070707070707071
1,A,brightness_dark,1.0,166.0737894202093,-0.003332394750390662,14.141414141414142
1,A,brightness_dark,1.25,159.62665653274038,-0.00456841694141009,21.21212121212121
1,A,brightness_dark,1.5,132.83880854370568,-0.00597402712642551,27.272727272727273
1,B,brightness_dark,0.0,0.0,0.0,0.0
1,B,brightness_dark,0.25,77.41267974032348,-0.0005703148814324466,3.0303030303030303
1,B,brightness_dark,0.5,127.12391696288455,-0.0013279640452913384,3.0303030303030303
1,B,brightness_dark,0.75,154.22341298456965,-0.002287623143386873,7.070707070707071
1,B,brightness_dark,1.0,163.0138800401631,-0.003445437050727049,14.141414141414142
1,B,brightness_dark,1.25,143.45291171182038,-0.004756231177619229,21.21212121212121
1,B,brightness_dark,1.5,142.2017721345002,-0.006262815879823261,27.272727272727273
1,A,contrast_low,0.0,0.0,0.0,0.0
1,A,contrast_low,0.25,43.210859063986206,-0.00016915433006431835,2.0202020202020203
1,A,contrast_low,0.5,72.20097627244967,-0.0003935151938535954,2.0202020202020203
1,A,contrast_low,0.75,90.8725277242039,-0.000657470215722062,2.0202020202020203
1,A,contrast_low,1.0,100.56534839334964,-0.0009586329217242742,4.040404040404041
1,A,contrast_low,1.25,101.98337324176894,-0.0012954324930613509,5.05050505050505
1,A,contrast_low,1.5,95.76205647536314,-0.0016579430990673956,5.05050505050505
1,B,contrast_low,0.0,0.0,0.0,0.0
1,B,contrast_low,0.25,42.699549133504306,-0.00016751115093080633,2.0202020202020203
1,B,contrast_low,0.5,71.23603869400264,-0.0003891609354393686,2.0202020202020203
1,B,contrast_low,0.75,89.40027804181676,-0.0006588739596770008,2.0202020202020203
1,B,contrast_low,1.0,98.76676560322814,-0.0009680875173136271,3.0303030303030303
1,B,contrast_low,1.25,99.99273802419013,-0.0013322122945295216,5.05050505050505
1,B,contrast_low,1.5,93.78402827408824,-0.001756050379323362,4.040404040404041
1,A,gaussian_noise,0.0,0.0,0.0,0.0
1,A,gaussian_noise,0.25,10.342806041853507,6.621748894200356e-05,0.0
1,A,gaussian_noise,0.5,18.569920253457184,0.0001422960748301656,1.0101010101010102
1,A,gaussian_noise,0.75,24.058591086876945,0.0002203966081454605,1.0101010101010102
1,A,gaussian_noise,1.0,26.11788123334213,0.0003140211677516982,2.0202020202020203
1,A,gaussian_noise,1.25,23.641509584647018,0.0004167181105820877,1.0101010101010102
1,A,gaussian_noise,1.5,15.466371746612772,0.0005218608336823665,3.0303030303030303
1,B,gaussian_noise,0.0,0.0,0.0,0.0
1,B,gaussian_noise,0.25,10.651867176640714,7.513696522966394e-05,0.0
1,B,gaussian_noise,0.5,19.080431644909048,0.00015926785979923424,1.0101010101010102
1,B,gaussian_noise,0.75,24.71114967427447,0.00024305605314545566,2.0202020202020203
1,B,gaussian_noise,1.0,27.075142404478903,0.00033803497846710386,2.0202020202020203
