client,bank,target,J_ray,PC_ray_safe
14,B,gaussian_blur,1.0,0.0
15,A,brightness_dark,1.25,0.0
15,B,brightness_dark,1.5,0.0
15,A,contrast_low,1.5,0.0
15,B,contrast_low,1.5,0.0
15,A,gaussian_noise,0.75,1.5
15,B,gaussian_noise,0.75,1.5
15,A,gaussian_blur,1.5,0.0
15,B,gaussian_blur,1.5,0.0
16,A,brightness_dark,1.0,0.0
16,B,brightness_dark,1.0,0.0
16,A,contrast_low,1.0,0.0
16,B,contrast_low,1.0,0.0
16,A,gaussian_noise,1.0,1.5
16,B,gaussian_noise,1.0,1.5
16,A,gaussian_blur,0.75,0.0
16,B,gaussian_blur,0.75,0.0
17,A,brightness_dark,1.0,0.0
17,B,brightness_dark,1.0,0.0
17,A,contrast_low,1.0,0.0
17,B,contrast_low,1.0,0.0
17,A,gaussian_noise,1.0,1.5
17,B,gaussian_noise,1.0,0.0
17,A,gaussian_blur,0.75,0.0
17,B,gaussian_blur,0.75,0.0
18,A,brightness_dark,1.0,0.0
18,B,brightness_dark,1.0,0.0
18,A,contrast_low,1.0,0.0
18,B,contrast_low,1.0,0.0
18,A,gaussian_noise,0.75,1.5
18,B,gaussian_noise,1.0,0.5
18,A,gaussian_blur,1.25,0.0
18,B,gaussian_blur,1.0,0.0
19,A,brightness_dark,1.25,0.0
19,B,brightness_dark,1.5,0.0
19,A,contrast_low,1.25,0.0
19,B,contrast_low,1.25,0.0
19,A,gaussian_noise,0.75,0.75
19,B,gaussian_noise,0.75,1.5
19,A,gaussian_blur,1.5,0.0
19,B,gaussian_blur,1.5,0.0
20,A,brightness_dark,1.25,0.0
20,B,brightness_dark,1.0,0.0
20,A,contrast_low,1.25,0.0
20,B,contrast_low,1.25,0.0
20,A,gaussian_noise,1.0,0.0
20,B,gaussian_noise,1.0,0.0
20,A,gaussian_blur,1.25,0.0
20,B,gaussian_blur,1.25,0.0
21,A,brightness_dark,1.25,0.0
21,B,brightness_dark,1.0,0.0
21,A,contrast_low,1.25,0.0
21,B,contrast_low,1.25,0.0
21,A,gaussian_noise,0.75,1.5
21,B,gaussian_noise,0.75,1.5
21,A,gaussian_blur,1.5,0.0
21,B,gaussian_blur,1.5,0.0
22,A,brightness_dark,1.0,0.0
22,B,brightness_dark,1.0,0.0
22,A,contrast_low,1.0,0.0
22,B,contrast_low,1.0,0.0
22,A,gaussian_noise,1.0,0.0
22,B,gaussian_noise,1.0,0.0
22,A,gaussian_blur,1.0,0.0
22,B,gaussian_blur,1.0,0.0
23,A,brightness_dark,1.0,0.0
23,B,brightness_dark,1.0,0.0
23,A,contrast_low,1.0,0.0
23,B,contrast_low,1.0,0.0
23,A,gaussian_noise,1.0,0.0
23,B,gaussian_noise,1.0,0.75
23,A,gaussian_blur,0.75,0.0
23,B,gaussian_blur,0.75,0.0
24,A,brightness_dark,1.0,0.0
24,B,brightness_dark,1.0,0.0
24,A,contrast_low,1.0,0.0
24,B,contrast_low,1.0,0.0
24,A,gaussian_noise,1.0,0.0
24,B,gaussian_noise,1.0,0.0
24,A,gaussian_blur,0.75,0.0
24,B,gaussian_blur,0.75,0.0
25,A,brightness_dark,1.0,0.0
25,B,brightness_dark,1.0,0.0
25,A,contrast_low,1.0,0.0
25,B,contrast_low,1.0,0.0
25,A,gaussian_noise,1.0,0.0
25,B,gaussian_noise,1.0,0.0
25,A,gaussian_blur,1.0,0.0
25,B,gaussian_blur,0.75,0.0
26,A,brightness_dark,1.25,0.0
26,B,brightness_dark,1.5,0.0
26,A,contrast_low,1.25,0.0
26,B,contrast_low,1.25,0.0
26,A,gaussian_noise,0.75,1.5
26,B,gaussian_noise,0.75,1.5
26,A,gaussian_blur,1.5,0.0
26,B,gaussian_blur,1.5,0.0
27,A,brightness_dark,1.0,0.0
27,B,brightness_dark,1.0,0.0
27,A,contrast_low,1.0,0.0
27,B,contrast_low,1.0,0.0
