bank,target,policy,stratum,control,L1_reduction,JS_reduction,dominant_agreement_gain
A,gaussian_noise,BBSE-H-11,quartile_3,raw_hard_11,0.14268403769862403,0.050829429378711266,0.2
A,gaussian_noise,BBSE-H-11,quartile_3,T015_zero_hard,0.1946840376986243,0.07690612001988756,0.28
A,gaussian_noise,BBSE-H-11,quartile_4,raw_soft_11,-0.10312777258541872,-0.07917767330322079,0.24
A,gaussian_noise,BBSE-H-11,quartile_4,raw_hard_11,-0.007145066112618226,-0.008024217942979806,0.15999999999999998
A,gaussian_noise,BBSE-H-11,quartile_4,T015_zero_hard,0.03285493388738181,0.00026208990159853895,0.2
A,gaussian_noise,BBSE-S-01,all,raw_soft_01,0.5394044753758708,0.1556787726203793,0.39
A,gaussian_noise,BBSE-S-01,all,raw_hard_01,0.5072101892704218,0.1826168351179275,0.34
A,gaussian_noise,BBSE-S-01,all,T015_zero_hard,0.5562101892704218,0.2024976852834313,0.4
A,gaussian_noise,BBSE-S-01,quartile_1,raw_soft_01,0.8972230748407737,0.25121283697890384,0.36
A,gaussian_noise,BBSE-S-01,quartile_1,raw_hard_01,0.7217260222217798,0.23686247567316754,0.36
A,gaussian_noise,BBSE-S-01,quartile_1,T015_zero_hard,0.7497260222217799,0.2512085151381347,0.39999999999999997
A,gaussian_noise,BBSE-S-01,quartile_2,raw_soft_01,0.7300764629213239,0.21801169126471415,0.6
A,gaussian_noise,BBSE-S-01,quartile_2,raw_hard_01,0.699094001993162,0.23458175365573758,0.52
A,gaussian_noise,BBSE-S-01,quartile_2,T015_zero_hard,0.7750940019931623,0.26539611636703087,0.6
A,gaussian_noise,BBSE-S-01,quartile_3,raw_soft_01,0.3946977831511256,0.112684093284243,0.31999999999999995
A,gaussian_noise,BBSE-S-01,quartile_3,raw_hard_01,0.3764174458036855,0.147063186828908,0.27999999999999997
A,gaussian_noise,BBSE-S-01,quartile_3,T015_zero_hard,0.4284174458036858,0.1731398774700843,0.36
A,gaussian_noise,BBSE-S-01,quartile_4,raw_soft_01,0.1356205805902594,0.04080646895365589,0.27999999999999997
A,gaussian_noise,BBSE-S-01,quartile_4,raw_hard_01,0.23160328706305988,0.11195992431389687,0.19999999999999996
A,gaussian_noise,BBSE-S-01,quartile_4,T015_zero_hard,0.2716032870630599,0.12024623215847521,0.24
A,gaussian_noise,BBSE-S-11,all,raw_soft_11,0.5394044753758708,0.1556787726203793,0.39
A,gaussian_noise,BBSE-S-11,all,raw_hard_11,0.5072101892704218,0.1826168351179275,0.34
A,gaussian_noise,BBSE-S-11,all,T015_zero_hard,0.5562101892704218,0.2024976852834313,0.4
A,gaussian_noise,BBSE-S-11,quartile_1,raw_soft_11,0.8972230748407737,0.25121283697890384,0.36
