salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction,gain_vs_zero_pp,capture_vs_P00,capture_vs_T014
T013-S3,A,contrast_low,class_context_only,33.73142720707556,33.81873794800186,33.554920801745105,"{""clean"": 2, ""brightness_dark"": 60, ""contrast_low"": 85, ""gaussian_noise"": 39, ""gaussian_blur"": 14}",0.86,0.0,0.0,1.437097159226544,0.09,0.025,13.77616321936504,1.014149244575207,1.0
T013-S3,A,gaussian_noise,class_context_only,37.62530501484868,37.682026730500695,36.26609341028941,"{""clean"": 21, ""brightness_dark"": 72, ""contrast_low"": 9, ""gaussian_noise"": 88, ""gaussian_blur"": 10}",0.83,0.0,0.0,2.6079326079326073,0.125,0.07,6.948661163388433,1.0135943502494127,1.0
T013-S3,A,gaussian_blur,class_context_only,40.03121579357747,40.08910166899395,39.68087098489492,"{""clean"": 13, ""brightness_dark"": 78, ""contrast_low"": 33, ""gaussian_noise"": 44, ""gaussian_blur"": 32}",0.82,0.0,0.0,2.506410256410256,0.11,0.06,9.129636617403099,1.0044680586711288,1.0
T013-S3,B,clean,class_context_only,40.29838341862913,40.361726178602304,39.23825278214076,"{""clean"": 27, ""brightness_dark"": 76, ""contrast_low"": 11, ""gaussian_noise"": 68, ""gaussian_blur"": 18}",0.77,0.0,0.0,2.803151176705222,0.155,0.085,6.159693498860587,0.9942797239508354,1.0
T013-S3,B,brightness_dark,class_context_only,35.37868537670203,35.44118624908571,34.59400308061633,"{""clean"": 2, ""brightness_dark"": 134, ""contrast_low"": 29, ""gaussian_noise"": 29, ""gaussian_blur"": 6}",0.865,0.0,0.0,1.582612090844016,0.09,0.06,17.83265892249097,1.0058242941919664,1.0
T013-S3,B,contrast_low,class_context_only,33.64333121581058,33.72564665203804,33.10618876662911,"{""clean"": 2, ""brightness_dark"": 65, ""contrast_low"": 82, ""gaussian_noise"": 37, ""gaussian_blur"": 14}",0.865,0.0,0.0,1.4191207853179677,0.08,0.035,13.688067228100062,1.0162230136710309,1.0
T013-S3,B,gaussian_noise,class_context_only,37.70790603057215,37.76181926989826,36.40185770291807,"{""clean"": 17, ""brightness_dark"": 72, ""contrast_low"": 7, ""gaussian_noise"": 92, ""gaussian_blur"": 12}",0.815,0.0,0.0,2.27533960292581,0.11,0.06,7.0312621791119,1.0173394710167518,1.0
T013-S3,B,gaussian_blur,class_context_only,40.045106935655994,40.10240042556021,39.68815794489585,"{""clean"": 10, ""brightness_dark"": 78, ""contrast_low"": 31, ""gaussian_noise"": 49, ""gaussian_blur"": 32}",0.8,0.0,0.0,2.8960396039603893,0.14,0.08,9.143527759481618,1.0146108518014247,1.0
T013-S0,A,clean,P00,40.265006000742666,40.328479287186646,39.180077362361885,"{""clean"": 25, ""brightness_dark"": 78, ""contrast_low"": 12, ""gaussian_noise"": 68, ""gaussian_blur"": 17}",0.765,0.0,0.0,3.9294117647058817,0.145,0.08,6.126316080974129,1.0,0.9777699483203429
T013-S0,A,clean,P01,36.188022687700176,36.26570915619389,35.06793883570198,"{""clean"": 91, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 81, ""gaussian_blur"": 28}",0.46,1.5407319952774499,6.760725229826353,16.69811320754717,0.47,0.305,2.0493327679316335,0.33451306475942955,0.327076822042307
