salt,bank,target1,target2,orientation,same_valid,same_mean,same_median,control_mean,control_min,control_max
T013-S3,A,clean,gaussian_noise,1,99,-0.21223104701083334,-0.3,0.0266787332571236,-0.04423451836698865,0.0758302028905975
T013-S3,A,clean,gaussian_blur,0,99,-0.08166073726008997,-0.09999999999999999,-0.058035717289958114,-0.162213054780099,0.027633453599526916
T013-S3,A,clean,gaussian_blur,1,100,-0.06708147814883503,-0.09999999999999999,0.028643001549718414,-0.041038590412309596,0.11469106625480813
T013-S3,A,brightness_dark,contrast_low,0,99,-0.13807360021276233,-0.09999999999999999,-0.022325438889915762,-0.0842601009264473,0.09079761199210344
T013-S3,A,brightness_dark,contrast_low,1,99,-0.08794111261446766,-0.09999999999999999,0.005421723584798822,-0.06552567236120205,0.06514707131376436
T013-S3,A,brightness_dark,gaussian_noise,0,99,-0.14826078756785932,-0.19999999999999998,0.012969175984019154,-0.014865622066278585,0.04150902257956449
T013-S3,A,brightness_dark,gaussian_noise,1,99,-0.18089420924601235,-0.19999999999999998,-0.00019922558829005722,-0.08109170723403455,0.059345033593106444
T013-S3,A,brightness_dark,gaussian_blur,0,99,-0.1510726245358236,-0.09999999999999999,0.00999532947350422,-0.07038913401787493,0.05525899593603308
T013-S3,A,brightness_dark,gaussian_blur,1,99,-0.06869372574051767,-0.09999999999999999,-0.019906989054244352,-0.094603352641466,0.036565181572193524
T013-S3,A,contrast_low,gaussian_noise,0,99,-0.022460674724747238,-0.09999999999999999,0.01047400579233582,-0.08254903399430706,0.06422585064141541
T013-S3,A,contrast_low,gaussian_noise,1,99,-0.11307502213131228,-0.19999999999999998,0.012483990416431019,-0.059166495173621034,0.07153390713163327
T013-S3,A,contrast_low,gaussian_blur,0,99,-0.09367241501179964,-0.09999999999999999,-0.0196978954668304,-0.10717338438656053,0.07891755877103901
T013-S3,A,contrast_low,gaussian_blur,1,100,-0.06501637079332359,-0.09999999999999999,-0.03022322135609348,-0.08062415592040248,0.053140578718640065
T013-S3,A,gaussian_noise,gaussian_blur,0,99,-0.1503776561872775,-0.19999999999999998,-0.02457593085345596,-0.11913639009954313,0.08597476453683627
T013-S3,A,gaussian_noise,gaussian_blur,1,100,-0.08209910962895982,-0.09999999999999999,0.03661615269585801,-0.017064568764394727,0.11116010635124825
T013-S3,B,clean,brightness_dark,0,99,-0.11932312293284189,-0.09999999999999999,0.008533668668374076,-0.12563218623360686,0.09797876517242106
T013-S3,B,clean,brightness_dark,1,99,-0.1346691671830605,-0.19999999999999998,0.030106124936866135,-0.02513219591824848,0.1267958222676772
T013-S3,B,clean,contrast_low,0,99,-0.05386983910247122,-0.09999999999999999,-0.032464386019678035,-0.09011238428169313,0.02786268382616976
T013-S3,B,clean,contrast_low,1,99,-0.16104703302715578,-0.09999999999999999,-0.017986197376310763,-0.13025795494255196,0.03736992789310045
T013-S3,B,clean,gaussian_noise,0,99,-0.1328414032081238,-0.09999999999999999,0.009914990361720024,-0.07577687990676278,0.06769954013120218
T013-S3,B,clean,gaussian_noise,1,99,-0.17379366473737456,-0.19999999999999998,0.04244618208065034,-0.020202020202020204,0.07409505249116129
T013-S3,B,clean,gaussian_blur,0,99,-0.13240195460227824,-0.09999999999999999,-0.03357356874461109,-0.10196772050083806,0.07378985525673769
T013-S3,B,clean,gaussian_blur,1,100,-0.07191885928855349,-0.09999999999999999,0.03212871871723945,-0.051580575037719296,0.1091543615354138
T013-S3,B,brightness_dark,contrast_low,0,99,-0.07763420644067583,-0.19999999999999998,-0.04224083995332719,-0.14278192117802999,0.07606781392865178
