representation,bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95
H,B,gaussian_blur,T013-S1,36.320632759618746,37.4432267572012,38.16802090476036,0.6053801129114332,0.7307887420282194,0.8117578552009327
H,B,gaussian_blur,T013-S2,36.36532124710198,37.406465206451124,38.15906548172157,0.6076425116265807,0.723431895937021,0.8071312938184709
H,B,gaussian_blur,T013-S3,36.39539129277152,37.387306904337166,38.172097000387126,0.6096204373063158,0.7196882765516364,0.8067724489612266
P,A,clean,T013-S0,38.91629733328194,39.35306193023667,39.83333149958217,0.7798499702538564,0.8511431570861759,0.9295376706890616
P,A,clean,T013-S1,38.90514890933844,39.35425254849798,39.79202785120268,0.7739408926096918,0.8468628818948132,0.9179454631735264
P,A,clean,T013-S2,38.91960502801487,39.38528614036651,39.77461568049549,0.7761800486278747,0.8517832292421315,0.9149907563677122
P,A,clean,T013-S3,38.831244077590746,39.355638100344834,39.79791206927187,0.7511264004726033,0.8350649510983951,0.9058587327213791
P,A,brightness_dark,T013-S0,33.03212959291086,33.86517957834117,34.565113334636,0.8636048820558639,0.910061116266027,0.9490939319226241
P,A,brightness_dark,T013-S1,33.07030760686233,33.81865495724446,34.48690293707008,0.8660811356723441,0.9078305420843542,0.9451113001167014
P,A,brightness_dark,T013-S2,33.06031561605093,33.8656425285242,34.470854260780726,0.8651821744538722,0.9100926748326867,0.9438433930935418
P,A,brightness_dark,T013-S3,33.08973713276909,33.835126616927894,34.51253594085917,0.866500165730552,0.9080526704647263,0.9458155511302541
P,A,contrast_low,T013-S0,30.678326052726323,31.547857092040175,32.26220542548274,0.7917377171408997,0.8559395762624238,0.9086835140792557
P,A,contrast_low,T013-S1,30.7014600173936,31.568778393207495,32.25131718781076,0.7945910306120889,0.8587219472828029,0.9091899643130615
P,A,contrast_low,T013-S2,30.74058830590917,31.519937445312728,32.21142220556157,0.7927067360959738,0.8499878427506301,0.9008110364891861
P,A,contrast_low,T013-S3,30.70269388662871,31.5769827370068,32.30034411748861,0.7911853060648657,0.8555471579849343,0.908798298080262
P,A,gaussian_noise,T013-S0,35.853105683408984,36.54380888511981,36.9666679932375,0.7565383214390687,0.85748438417439,0.9192851141413584
P,A,gaussian_noise,T013-S1,35.875112193933155,36.535098827014735,36.922587970006994,0.7561461366503271,0.8521448635769011,0.9085073148154069
P,A,gaussian_noise,T013-S2,35.91636848528105,36.50791406869438,36.92139439582021,0.7666830295346483,0.8532387155094021,0.9137396715725538
P,A,gaussian_noise,T013-S3,35.884941069342446,36.54872186399683,36.92869559224293,0.7597291780868531,0.8565542278979832,0.9119806208587886
P,A,gaussian_blur,T013-S0,37.69250774280923,38.54546237281701,38.95711355532418,0.7422467551452455,0.8354744780107095,0.880467846954223
P,A,gaussian_blur,T013-S1,37.62618615203722,38.47211160632703,38.99700526141792,0.7344527289102918,0.8268435943672443,0.8841717889744447
P,A,gaussian_blur,T013-S2,37.60331936459607,38.47230938877895,38.95002565144283,0.7384322909059389,0.834182092642568,0.8868193337656064
P,A,gaussian_blur,T013-S3,37.6655272877852,38.49509149117958,38.972364009500446,0.7441884177154207,0.835459382798325,0.88797023509457
P,B,clean,T013-S0,38.82114066215912,39.358984101106735,39.73280805592828,0.7591468762856844,0.8463452664174678,0.9069518383167496
P,B,clean,T013-S1,38.77212738238541,39.31144405675889,39.708128580583164,0.7652432446897535,0.8543150073158012,0.9198301145291081
P,B,clean,T013-S2,38.87001308199752,39.31706455556902,39.695044112458994,0.7753005336763997,0.8485568372846093,0.9104946382183988
