pool,target,context,layer,mse_before,mse_after,restoration_ratio,gamma_abs_mean,gamma_abs_max,beta_abs_mean,beta_abs_max,cap_fraction,negative_scale_fraction,minimum_source_variance,nonfinite_count
B,gaussian_noise,noise_source,1,0.20121039838009802,0.09840301975726787,0.48905533983079197,1.0009866952896118,1.0373553037643433,0.25582659244537354,0.6358023881912231,0.0,0.4375,0.04158951682022318,0
B,gaussian_noise,noise_source,2,0.19473096640179965,0.16734977333680676,0.8593896308792732,1.5397661924362183,7.0,1.1766862869262695,10.14422607421875,0.03125,0.046875,0.0,0
B,gaussian_blur,correct_pair,1,0.013263460612180495,0.008415074792814925,0.6344554440857572,0.23514124751091003,1.0460023880004883,0.022850044071674347,0.03972230479121208,0.0,0.0,0.002236389311358508,0
B,gaussian_blur,correct_pair,2,0.010795903928036503,0.00960473524213733,0.8896647567596672,0.029589509591460228,0.1797860711812973,0.038210321217775345,0.11455432325601578,0.0,0.0,0.0,0
B,gaussian_blur,same_class_derangement,1,0.16110773995735486,0.09750050906992996,0.6051882367398258,0.9390805959701538,1.1047250032424927,0.24582578241825104,0.6160343289375305,0.0,0.15625,0.002236389311358508,0
B,gaussian_blur,same_class_derangement,2,0.1883898468629321,0.1621968884372175,0.860964065410744,0.7928589582443237,2.9446234703063965,0.4397205114364624,2.375950813293457,0.0,0.046875,0.0,0
B,gaussian_blur,cross_class_derangement,1,0.1672722570790222,0.09818785982819599,0.5869942902833576,0.9786696434020996,1.0491621494293213,0.25039389729499817,0.625503659248352,0.0,0.28125,0.002236389311358508,0
B,gaussian_blur,cross_class_derangement,2,0.19417752418417955,0.16691279831741665,0.859588662584337,1.254885196685791,6.324941635131836,0.8441143035888672,5.957714557647705,0.0,0.40625,0.0,0
B,gaussian_blur,wrong_alt_source,1,0.046403289202697595,0.025172788888439296,0.5424785466926751,0.8193448781967163,2.5147206783294678,0.04452778398990631,0.10470759123563766,0.0,0.0,0.0010926267133239509,0
B,gaussian_blur,wrong_alt_source,2,0.04956331592017904,0.04285560968129615,0.8646638927531493,0.13610336184501648,0.829587996006012,0.08843915164470673,0.30356791615486145,0.0,0.0,0.0,0
B,gaussian_blur,noise_source,1,0.20121039838009802,0.09840301975726787,0.48905533983079197,1.0009866952896118,1.0373553037643433,0.25582659244537354,0.6358023881912231,0.0,0.4375,0.04158951682022318,0
B,gaussian_blur,noise_source,2,0.19473096640179965,0.16734977333680676,0.8593896308792732,1.5397661924362183,7.0,1.1766862869262695,10.14422607421875,0.03125,0.046875,0.0,0
