client,bank,true_context,selected,second,best_score,second_score,score_margin,zero_improvement,true_rank,J_clean,J_brightness_dark,J_contrast_low,J_gaussian_noise,J_gaussian_blur
11,B,contrast_low,contrast_low,gaussian_blur,14.298544037949949,55.29825104585727,40.99970700790732,96.49318707022178,1,110.79173110817173,762.0805026577666,14.298544037949949,184.34596745520543,55.29825104585727
11,A,gaussian_noise,gaussian_noise,clean,4.902517785298323,16.460130071079067,11.557612285780746,11.557612285780746,1,16.460130071079067,4300.531719962225,361.4147735493882,4.902517785298323,78.9108977295345
11,B,gaussian_noise,gaussian_noise,clean,5.139122300097725,17.433658874311448,12.294536574213723,12.294536574213723,1,17.433658874311448,2714.5866453604144,407.4126912231417,5.139122300097725,90.36078482012464
11,A,gaussian_blur,gaussian_blur,contrast_low,8.473888352309709,34.072795741836785,25.598907389527078,25.73017089888453,1,34.20405925119424,2978.0509204261566,34.072795741836785,84.45902135964891,8.473888352309709
11,B,gaussian_blur,gaussian_blur,contrast_low,8.772019341813737,31.657054615593157,22.885035273779422,26.66383628252811,1,35.43585562434185,2299.7170140661165,31.657054615593157,84.04395953339571,8.772019341813737
12,A,clean,clean,gaussian_noise,4.49973252113216,16.334315076048618,11.834582554916459,0.0,1,4.49973252113216,4845.366845205595,219.86015498480364,16.334315076048618,32.16541856168929
12,B,clean,clean,gaussian_noise,3.802169512304513,15.37360026635887,11.571430754054358,0.0,1,3.802169512304513,3478.8583980834765,235.9328301376427,15.37360026635887,35.61642926005507
12,A,brightness_dark,brightness_dark,gaussian_blur,126.97807163306845,246.71594502397477,119.73787339090632,148.5959876250439,1,275.57405925811236,126.97807163306845,257.05488990658193,327.4455978421398,246.71594502397477
12,B,brightness_dark,brightness_dark,gaussian_blur,128.73680935744247,245.00707260953095,116.27026325208848,147.70826560214172,1,276.4450749595842,128.73680935744247,260.33580196583944,327.9658792036346,245.00707260953095
12,A,contrast_low,contrast_low,gaussian_blur,14.204592222985948,58.47945006209382,44.27485783910787,95.3115435425872,1,109.51613576557315,1583.259021597248,14.204592222985948,180.08917671885067,58.47945006209382
12,B,contrast_low,contrast_low,gaussian_blur,14.365448019712417,55.89305922862927,41.52761120891685,94.69105830051751,1,109.05650632022993,949.9534127136972,14.365448019712417,178.02563291341025,55.89305922862927
12,A,gaussian_noise,gaussian_noise,clean,3.880050818181796,27.034573683878207,23.15452286569641,23.15452286569641,1,27.034573683878207,4380.139444778463,451.7361110488158,3.880050818181796,107.45278452489046
12,B,gaussian_noise,gaussian_noise,clean,3.7191852162402133,27.175559739254552,23.45637452301434,23.45637452301434,1,27.175559739254552,2899.157065091428,500.2306160334521,3.7191852162402133,118.63232682691151
12,A,gaussian_blur,gaussian_blur,clean,5.233182382153641,18.137905479272977,12.904723097119335,12.904723097119335,1,18.137905479272977,3114.997456647159,61.49836306169682,56.80651453027649,5.233182382153641
12,B,gaussian_blur,gaussian_blur,clean,5.585297494282401,18.389703693872903,12.804406199590503,12.804406199590503,1,18.389703693872903,2421.6370869846205,61.02726776328588,56.28381357674112,5.585297494282401
13,A,clean,clean,gaussian_noise,2.44655502817027,14.37399931938834,11.92744429121807,0.0,1,2.44655502817027,4903.52641037177,244.7777200476406,14.37399931938834,35.61238086426516
13,B,clean,clean,gaussian_noise,4.221416159341196,14.971179519162211,10.749763359821015,0.0,1,4.221416159341196,3471.70517145769,284.1031111921601,14.971179519162211,44.606959151814124
13,A,brightness_dark,brightness_dark,gaussian_blur,130.8807874425392,265.5808537006948,134.70006625815557,167.38086736203797,1,298.2616548045772,130.8807874425392,275.5478113221684,353.7438932567949,265.5808537006948
