client,bank,context,salt,valid_positive_P00_gain,P00_gain_contribution_exact,actual_macro_contribution_exact,capture_deficit_actual,capture_deficit_null_median,capture_deficit_null_p95,capture_deficit_percentile,capture_deficit_above_p95
45,A,clean,T013-S2,True,10/1509,17535/377753,0.0,0.0,0.0,0.984375,False
46,A,clean,T013-S2,True,14/75,4/15,0.0,0.0,0.0,0.984375,False
47,A,clean,T013-S2,False,0,15053882/112948147,,,,,
48,A,clean,T013-S2,True,9345/281242,3740/140621,0.7972347042638466,0.5997690410545055,1.0,0.6171875,False
49,A,clean,T013-S2,True,340/17043,5147/17043,1.0,3.6735294117647057,4.0323529411764705,0.25,False
50,A,clean,T013-S2,True,1501/25150,18074813/56662950,0.9890478068504311,0.0,0.9890478068504311,1.0,False
51,A,clean,T013-S2,False,0,0,,,,,
52,A,clean,T013-S2,False,0,83345/1143822,,,,,
53,A,clean,T013-S2,True,583/17342,4051/17342,0.5900514579759862,0.0,0.5900514579759863,0.8984375,False
54,A,clean,T013-S2,True,5408098935/73163811682,37182086705/73163811682,0.5492671246160674,0.0,0.5492671246160674,0.984375,False
55,A,clean,T013-S2,True,7615/569258,857787155/859010322,0.0,0.0,0.0,0.953125,False
56,A,clean,T013-S2,False,0,21293425/189716007,,,,,
57,A,clean,T013-S2,False,-73786/2891629,44247243/144581450,,,,,
58,A,clean,T013-S2,False,0,2/299,,,,,
59,A,clean,T013-S2,True,30040343/4326029175,67749351/221847650,0.0,0.0,1.0,0.5390625,False
60,A,clean,T013-S2,True,75/379,575/758,0.0,0.0,0.0,0.96875,False
61,A,clean,T013-S2,True,1133/56850,1890/142883,0.6690203000882613,0.0,0.6690203000882613,0.984375,False
62,A,clean,T013-S2,True,527/76350,349012/4822775,1.9316888045540797,0.0,1.9316888045540797,0.9921875,False
63,A,clean,T013-S2,False,0,9429473/18858450,,,,,
64,A,clean,T013-S2,True,852829453/14162695950,598913678/2360449325,0.0,0.0,1.5525020252789041,0.640625,False
65,A,clean,T013-S2,True,19/50,46/75,0.0,0.0,0.0,0.9921875,False
66,A,clean,T013-S2,False,-1035561880/161260928517,9492765/288223286,,,,,
67,A,clean,T013-S2,True,3481543087/32754962630,3083634/12522925,0.0,0.0,0.8752626101086461,0.8515625,False
68,A,clean,T013-S2,True,43006/494247,3943/8671,0.0,0.0,1.3074803515788496,0.5078125,False
69,A,clean,T013-S2,True,49551049/497212482,74267266/248606241,0.0,0.0,0.8005099750764106,0.6328125,False
70,A,clean,T013-S2,True,3775/142883,853693187/2468018059,0.0,0.0,0.0,0.96875,False
71,A,clean,T013-S2,True,1/56325,1501/56325,0.0,-376.51340482573727,1.0,0.9296875,False
72,A,clean,T013-S2,True,764649/14231450,11076766/21347175,0.3797738134316094,0.0,0.3797738134316093,0.9609375,True
73,A,clean,T013-S2,True,656103593/2515717230,78949162/110338475,0.0,0.0,0.9741214293273959,0.90625,False
74,A,clean,T013-S2,False,0,2237298/2891629,,,,,
75,A,clean,T013-S2,True,26263/993738,3198959/6459297,5.815847975654548,1.0,5.815847975654548,1.0,False
76,A,clean,T013-S2,False,0,383076289/662030850,,,,,
77,A,clean,T013-S2,True,8820/190637,88340/190637,0.0,0.0,0.0,0.9921875,False
78,A,clean,T013-S2,True,1/6,30037/112650,0.0,0.0,1.04,0.8984375,False
79,A,clean,T013-S2,True,20/1509,26938/451191,0.0,0.0,0.0,0.9609375,False
