salt,client,half,n,normalized_entropy,max_class_fraction,represented_classes,halves_histogram_L1,halves_histogram_JS
T013-S1,21,0,121,0.020787440351863463,0.9917355371900827,2,0.016528925619834683,0.0007107069963173396
T013-S1,21,1,121,0.03656926786158127,0.9834710743801653,2,0.016528925619834683,0.0007107069963173396
T013-S1,22,0,88,0.29923291025077453,0.5454545454545454,2,0.28631138975966564,0.010310701953014978
T013-S1,22,1,87,0.2926852822592023,0.5977011494252874,2,0.28631138975966564,0.010310701953014978
T013-S1,23,0,70,0.4561479653691321,0.44285714285714284,3,0.4571428571428572,0.031614429917873554
T013-S1,23,1,70,0.4026962709093813,0.6571428571428571,4,0.4571428571428572,0.031614429917873554
T013-S1,24,0,90,0.3340471546834796,0.7333333333333333,5,0.11735330836454431,0.012412217782141965
T013-S1,24,1,89,0.3370999663641021,0.7078651685393258,5,0.11735330836454431,0.012412217782141965
T013-S1,25,0,18,0.5313921547837103,0.5,4,0.7777777777777778,0.09602707136684407
T013-S1,25,1,18,0.587719308072159,0.3888888888888889,5,0.7777777777777778,0.09602707136684407
T013-S1,26,0,142,0.1293108164715708,0.9295774647887324,3,0.07042253521126766,0.0034649249809622085
T013-S1,26,1,142,0.07384498053982001,0.9647887323943662,3,0.07042253521126766,0.0034649249809622085
T013-S1,27,0,98,0.024727522388150465,0.9897959183673469,2,0.02082895013675576,0.0009110446895290725
T013-S1,27,1,97,0.04361913123770362,0.979381443298969,2,0.02082895013675576,0.0009110446895290725
T013-S1,28,0,13,0.5024733495693946,0.5384615384615384,4,0.4615384615384615,0.03218807881750685
T013-S1,28,1,13,0.5672348931031546,0.38461538461538464,4,0.4615384615384615,0.03218807881750685
T013-S1,29,0,191,-0.0,1.0,1,0.0,0.0
T013-S1,29,1,191,-0.0,1.0,1,0.0,0.0
T013-S1,30,0,138,0.2981044068799474,0.5579710144927537,2,0.051941182693324824,0.0028030863908256043
T013-S1,30,1,137,0.3119219760229988,0.5766423357664233,3,0.051941182693324824,0.0028030863908256043
T013-S1,31,0,101,0.04820370779098474,0.9801980198019802,3,0.039603960396039604,0.01372568674376129
T013-S1,31,1,101,0.0422427177778366,0.9801980198019802,2,0.039603960396039604,0.01372568674376129
T013-S1,32,0,99,0.6523866293516202,0.2828282828282828,5,0.1616161616161616,0.003545861353934532
T013-S1,32,1,99,0.6510078473566535,0.3434343434343434,5,0.1616161616161616,0.003545861353934532
T013-S1,33,0,132,0.3002319043127459,0.5303030303030303,2,0.1212121212121211,0.001837673248201832
T013-S1,33,1,132,0.3002319043127459,0.5303030303030303,2,0.1212121212121211,0.001837673248201832
T013-S1,34,0,51,0.25504571885493516,0.8431372549019608,4,0.1568627450980392,0.007246321142464707
T013-S1,34,1,51,0.31144849147295167,0.7843137254901961,4,0.1568627450980392,0.007246321142464707
T013-S1,35,0,88,0.24949280385255215,0.7386363636363636,2,0.01698014629049105,4.71731810989251e-05
T013-S1,35,1,87,0.24558054963155934,0.7471264367816092,2,0.01698014629049105,4.71731810989251e-05
T013-S1,36,0,9,0.27643459094367495,0.6666666666666666,2,0.6666666666666666,0.2310490601866484
T013-S1,36,1,9,0.36857945459156666,0.6666666666666666,3,0.6666666666666666,0.2310490601866484
T013-S1,37,0,40,0.4503047722172951,0.5,4,0.15000000000000005,0.021944169548012038
T013-S1,37,1,40,0.4766470495388733,0.525,5,0.15000000000000005,0.021944169548012038
T013-S1,38,0,13,0.11777604826287535,0.9230769230769231,2,0.1538461538461538,0.027428942973443893
T013-S1,38,1,12,-0.0,1.0,1,0.1538461538461538,0.027428942973443893
T013-S1,39,0,80,-0.0,1.0,1,0.0,0.0
T013-S1,39,1,80,-0.0,1.0,1,0.0,0.0
T013-S1,40,0,125,0.10172338603987234,0.952,4,0.016000000000000007,0.0027809569474933626
T013-S1,40,1,125,0.08163009707984178,0.96,3,0.016000000000000007,0.0027809569474933626
T013-S1,41,0,50,0.25351865742783536,0.86,5,0.35999999999999993,0.02830287276313226
T013-S1,41,1,50,0.4771018647703425,0.68,6,0.35999999999999993,0.02830287276313226
T013-S1,42,0,160,0.3764777122521519,0.58125,3,0.10000000000000007,0.002371877453122284
T013-S1,42,1,160,0.36032676261551344,0.55625,3,0.10000000000000007,0.002371877453122284
T013-S1,43,0,99,0.2929819790419438,0.5959595959595959,2,0.04040404040404033,0.00021027725418110155
T013-S1,43,1,99,0.29602573025367285,0.5757575757575758,2,0.04040404040404033,0.00021027725418110155
T013-S1,44,0,37,0.42785744035118584,0.5945945945945946,4,0.10810810810810806,0.019177734752064968
T013-S1,44,1,37,0.35544563832904646,0.6216216216216216,3,0.10810810810810806,0.019177734752064968
