client,bank,context,max_error,objective,iterations
30,B,clean,1.887379141862766e-15,4.5593758326021967e-32,1
30,B,brightness_dark,1.5057399771478686e-15,4.9069460022533307e-32,1
30,B,contrast_low,2.0539125955565396e-15,2.30931037394182e-32,1
30,B,gaussian_noise,1.3808398868775384e-15,1.4530238650740263e-32,1
30,B,gaussian_blur,7.424616477180734e-16,1.127270870574154e-32,1
31,A,clean,6.661338147750939e-16,3.659868747443369e-32,1
31,A,brightness_dark,7.771561172376096e-16,5.256735505238817e-32,1
31,A,contrast_low,5.551115123125783e-16,3.049138306484948e-32,1
31,A,gaussian_noise,1.2212453270876722e-15,1.7603601544806957e-31,1
31,A,gaussian_blur,3.234922359877633e-16,8.510202941761098e-33,1
31,B,clean,6.661338147750939e-16,3.659868747443369e-32,1
31,B,brightness_dark,1.3322676295501878e-15,1.8449355624291383e-31,1
31,B,contrast_low,0.0,0.0,1
31,B,gaussian_noise,6.661338147750939e-16,3.847345990467314e-32,1
31,B,gaussian_blur,3.1043969862680796e-16,7.067260116239724e-33,1
32,A,clean,9.992007221626409e-16,2.861209673630287e-32,1
32,A,brightness_dark,7.494005416219807e-16,3.588549154190279e-33,1
32,A,contrast_low,9.159339953157541e-16,1.0521896953984328e-32,1
32,A,gaussian_noise,6.263022289201458e-16,3.647229832183328e-32,1
32,A,gaussian_blur,1.304512053934559e-15,2.516347842963448e-32,1
32,B,clean,9.992007221626409e-16,2.861209673630287e-32,1
32,B,brightness_dark,6.938893903907228e-16,1.8711613115937238e-32,1
32,B,contrast_low,7.771561172376096e-16,6.138901697734314e-33,1
32,B,gaussian_noise,4.718447854656915e-16,7.348626444052547e-33,1
32,B,gaussian_blur,1.27675647831893e-15,1.6514849273120547e-32,1
33,A,clean,6.661338147750939e-16,3.072460114405262e-32,1
