bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,top_class_in_true_argmax,spearman_mean,spearman_median,spearman_valid
A,clean,pi_source_state_soft,quartile_3,25,1.223514041035093,1.2800817162102023,0.3109459227266964,0.3271736720846079,0.28,0.28,0.22887631499728336,0.21624335800309782,25
A,clean,pi_source_state_soft,quartile_4,25,1.0855387947530593,1.1578731693818956,0.26619287825051685,0.2682631213322253,0.2,0.2,0.2219529504490215,0.27589669814188345,25
A,clean,pi_source_state_soft,context_True,92,1.2825490026616084,1.303870315457523,0.3312918000263543,0.32945116866085006,0.2608695652173913,0.2608695652173913,0.2579613600930825,0.3027495893961478,92
A,clean,pi_source_state_soft,context_False,8,1.446666989372492,1.4212999412395029,0.3869115882462613,0.3587348460726728,0.375,0.375,0.14767276430894058,0.13713462166083187,8
A,brightness_dark,pi_zero_soft,all,100,1.4755939924802903,1.5090927318794778,0.3999580516926695,0.4042294604369602,0.15,0.15,0.10371606459339067,0.17279050442735322,100
A,brightness_dark,pi_zero_soft,quartile_1,25,1.628487959811154,1.7247681534085308,0.4591732244603615,0.4833420041543386,0.24,0.24,0.12297176125190097,0.19894973017461143,25
A,brightness_dark,pi_zero_soft,quartile_2,25,1.596387231370265,1.657000990255885,0.45237057460683405,0.45187831666294875,0.12,0.12,0.014934341253621924,0.03728333758674101,25
A,brightness_dark,pi_zero_soft,quartile_3,25,1.3506001873614357,1.3840191157228392,0.3538556139339384,0.3748683997532185,0.16,0.16,0.19305200362002914,0.17150335289900864,25
A,brightness_dark,pi_zero_soft,quartile_4,25,1.3269005913783074,1.3379237756179938,0.3344327937695442,0.3420040867520835,0.08,0.08,0.08390615224801062,0.11185001276022301,25
A,brightness_dark,pi_zero_hard,all,100,1.574,1.7000000000000002,0.49285916192194884,0.5382673918496315,0.14,0.14,0.07419384140195584,0.07340263761140489,100
A,brightness_dark,pi_zero_hard,quartile_1,25,1.54,1.8,0.4845455567540221,0.5474673938870493,0.2,0.2,0.11855888698696793,0.19977432661993444,25
A,brightness_dark,pi_zero_hard,quartile_2,25,1.696,1.9,0.5490965836081907,0.621376824859474,0.12,0.12,0.01536973098042957,0.0638550856814101,25
A,brightness_dark,pi_zero_hard,quartile_3,25,1.452,1.7,0.4474316078050029,0.47050006482778794,0.16,0.16,0.10950126464204737,0.2084875972073649,25
A,brightness_dark,pi_zero_hard,quartile_4,25,1.6079999999999999,1.7000000000000002,0.4903628995205792,0.5163993119678616,0.08,0.08,0.05334548299837845,0.04035399987325775,25
