target,context,layer,restoration_ratio,mse_before,mse_after,gamma_abs_mean,beta_abs_mean,negative_scale_fraction,cap_fraction,gamma_abs_max_max,beta_abs_max_max,cap_fraction_max,clients_cap_gt10pct
gaussian_blur,high_semantic_derangement,2,0.8559925454157492,0.19587559104710067,0.16758300739565754,0.98133037596941,0.5582734009623528,0.1446875,0.00125,7.0,9.726508140563965,0.046875,0
gaussian_blur,random_derangement_0,1,0.581259495608441,0.17235183554626154,0.10026576737465956,0.9706296247243881,0.250667918920517,0.3178125,0.0,1.1390740871429443,0.9355818629264832,0.0,0
gaussian_blur,random_derangement_0,2,0.8557600784302669,0.19632445956277766,0.16793547003791215,1.0614382043480872,0.6041121545433998,0.16796875,0.00234375,7.668972492218018,12.180032730102539,0.046875,0
gaussian_blur,random_derangement_1,1,0.5840028118225441,0.17158101748198892,0.10020143417738456,0.9666237586736679,0.24969150066375734,0.3009375,0.0,1.1955283880233765,0.9073781371116638,0.0,0
gaussian_blur,random_derangement_1,2,0.8557045170451221,0.19606735100322048,0.16770900998059626,1.0879784294962882,0.6329468296468258,0.17,0.0021875,8.566902160644531,12.009855270385742,0.046875,0
gaussian_blur,random_derangement_2,1,0.5780556058706933,0.17329959994334942,0.1002457443777849,0.9764929163455963,0.25191857650876043,0.360625,0.0,1.269799828529358,0.8499085307121277,0.0,0
gaussian_blur,random_derangement_2,2,0.855409937552154,0.19623286184562122,0.16778734022221833,1.1135808843374253,0.6388140273094177,0.17203125,0.00265625,9.0,13.598374366760254,0.046875,0
gaussian_blur,random_derangement_3,1,0.5802210824474361,0.17263038788834684,0.10022697648676444,0.9735979866981507,0.2514545783400536,0.3484375,0.0,1.1743708848953247,0.8508118987083435,0.0,0
gaussian_blur,random_derangement_3,2,0.8555018566763413,0.19615117051465572,0.1677339344972636,1.0515712729096414,0.5995882211625576,0.15953125,0.0021875,9.0,14.517579078674316,0.09375,0
gaussian_blur,random_derangement_4,1,0.5814213021964596,0.17253490756523393,0.10023988384271336,0.9729778200387955,0.25089858055114744,0.3265625,0.0,1.185896873474121,0.8276112675666809,0.0,0
gaussian_blur,random_derangement_4,2,0.8558472244967759,0.1962285801028113,0.16784707549479666,1.048129278421402,0.591660286039114,0.1684375,0.00234375,8.237726211547852,9.66316032409668,0.078125,0
gaussian_blur,random_derangement_5,1,0.5796188793578329,0.17287642973623815,0.10024441417657805,0.9733843111991882,0.25142441019415857,0.336875,0.0,1.231711983680725,0.8646479249000549,0.0,0
gaussian_blur,random_derangement_5,2,0.8550716559166546,0.1962659776735399,0.1677268549627059,1.0727694922685622,0.6147786079347134,0.169375,0.00171875,9.0,10.926867485046387,0.03125,0
gaussian_blur,random_derangement_6,1,0.5800619549469306,0.1728869612970853,0.10027543793315856,0.9725437891483307,0.25146981194615364,0.3296875,0.0,1.183674931526184,0.88797926902771,0.0,0
gaussian_blur,random_derangement_6,2,0.8552570998411099,0.1963466800293039,0.16786191503036732,1.1168707871437074,0.649683136343956,0.17796875,0.00375,9.0,10.860382080078125,0.078125,0
gaussian_blur,random_derangement_7,1,0.5816811367120335,0.1721162725553913,0.1001483596644313,0.9694329911470413,0.25034681022167204,0.3171875,0.0,1.248340368270874,0.8778923153877258,0.0,0
gaussian_blur,random_derangement_7,2,0.8567799604190348,0.1958378803696123,0.1677191460916887,0.9441631799936294,0.5427862463891506,0.155625,0.00203125,9.0,11.624823570251465,0.078125,0
