client,bank,context,max_abs_error,L1
38,A,clean,3.3306690738754696e-16,7.031412489292659e-16
38,A,brightness_dark,3.3306690738754696e-16,4.903485025427774e-16
38,A,contrast_low,9.992007221626409e-16,1.9058828589398518e-15
38,A,gaussian_noise,6.75385673313637e-16,1.4155343563970748e-15
38,A,gaussian_blur,5.551115123125783e-16,1.1102230246251565e-15
38,B,clean,3.3306690738754696e-16,7.031412489292659e-16
38,B,brightness_dark,6.661338147750939e-16,1.429412144204889e-15
38,B,contrast_low,1.7763568394002505e-15,3.497202527569243e-15
38,B,gaussian_noise,1.887379141862766e-15,3.793262000802618e-15
38,B,gaussian_blur,6.661338147750939e-16,1.27675647831893e-15
39,A,clean,6.661338147750939e-16,1.1934897514720433e-15
