client,bank,context,max_error,iterations,updates,trace,converged,cap_hit,direct_KKT,sum_error,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
86,B,contrast_low,5.995204332975845e-14,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.05000000000001008, 'action': 'accept'}]",True,False,3.3017950522914365e-17,0.0,8.347943343946474e-31,1.389799196118439e-31,4,0,1.167399510393352e-13,False
86,B,gaussian_noise,2.453592884421596e-14,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.04999999999999613, 'action': 'accept'}]",True,False,7.572194579423292e-17,0.0,1.8289262697664194e-31,6.312385856006071e-32,4,0,4.9002468749392847e-14,False
86,B,gaussian_blur,1.6431300764452317e-14,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.04999999999999748, 'action': 'accept'}]",True,False,3.543655945267979e-17,0.0,1.0241734332386748e-31,2.9183857188542833e-32,4,0,3.475394575299821e-14,False
87,A,clean,9.020562075079397e-16,0,0,"[{'active': [3, 5], 'minimum': 0.10000000000000091, 'action': 'accept'}]",True,False,2.0556672570691428e-17,0.0,2.9144736736547468e-33,2.6963019221421302e-33,2,0,2.139492287038062e-15,False
87,A,brightness_dark,2.1690982343613996e-14,0,0,"[{'active': [3, 5], 'minimum': 0.09999999999997831, 'action': 'accept'}]",True,False,3.9588594085639546e-17,0.0,4.098198365723752e-31,9.757393044028739e-32,2,0,4.706775643839986e-14,False
87,A,contrast_low,3.1086244689504383e-15,0,0,"[{'active': [3, 5], 'minimum': 0.10000000000000304, 'action': 'accept'}]",True,False,2.2528028094466504e-17,0.0,1.0353378083850445e-32,6.86263005964858e-33,2,0,9.321247477582045e-15,False
87,A,gaussian_noise,2.345346139520643e-15,0,0,"[{'active': [3, 5], 'minimum': 0.09999999999999766, 'action': 'accept'}]",True,False,5.814331711084138e-18,0.0,1.451669695581879e-32,1.9513582381842236e-32,2,0,3.00454106039183e-15,False
87,A,gaussian_blur,7.174816296640074e-15,0,0,"[{'active': [3, 5], 'minimum': 0.09999999999999283, 'action': 'accept'}]",True,False,5.644818619249028e-17,0.0,1.4832669837319821e-31,1.813533876539012e-32,2,0,1.475671436897604e-14,False
87,B,clean,9.020562075079397e-16,0,0,"[{'active': [3, 5], 'minimum': 0.10000000000000091, 'action': 'accept'}]",True,False,2.0556672570691428e-17,0.0,2.9144736736547468e-33,2.6963019221421302e-33,2,0,2.139492287038062e-15,False
87,B,brightness_dark,2.0650148258027912e-14,0,0,"[{'active': [3, 5], 'minimum': 0.10000000000002059, 'action': 'accept'}]",True,False,1.4844670822009558e-16,0.0,3.488400797082143e-31,9.972705993280156e-33,2,0,4.175595054907906e-14,False
87,B,contrast_low,0.0,0,0,"[{'active': [3, 5], 'minimum': 0.1, 'action': 'accept'}]",True,False,0.0,0.0,0.0,2.807042893944396e-32,2,0,4.385380947269368e-15,False
87,B,gaussian_noise,7.105427357601002e-15,0,0,"[{'active': [3, 5], 'minimum': 0.10000000000000704, 'action': 'accept'}]",True,False,1.246318749256324e-16,0.0,1.2803973474806298e-31,6.644458308135964e-33,2,0,1.672273430841642e-14,False
87,B,gaussian_blur,2.3592239273284576e-15,0,0,"[{'active': [3, 5], 'minimum': 0.10000000000000236, 'action': 'accept'}]",True,False,3.957562258081685e-17,0.0,1.3704195260530425e-32,2.458720407908736e-32,2,0,4.2049697057677804e-15,False
88,A,clean,1.8318679906315083e-15,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.0999999999999984, 'action': 'accept'}]",True,False,1.470845594459421e-17,0.0,1.9963467579788942e-32,3.3144050636689087e-32,4,0,6.1151480704576706e-15,False
88,A,brightness_dark,6.106226635438361e-16,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.09999999999999962, 'action': 'accept'}]",True,False,1.188873572935347e-17,0.0,3.9737351430677265e-33,1.5359291306488206e-32,4,0,6.045896807884945e-15,False
88,A,contrast_low,5.88418203051333e-15,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.10000000000000556, 'action': 'accept'}]",True,False,4.137932161806802e-17,0.0,1.3009205384505062e-31,3.424694645640459e-32,4,0,1.2753686995381486e-14,False
88,A,gaussian_noise,4.163336342344337e-16,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.09999999999999959, 'action': 'accept'}]",True,False,1.3945131105598363e-17,0.0,4.682417177291467e-33,1.9096799104814686e-32,4,0,4.909961326404755e-15,False
88,A,gaussian_blur,1.2490009027033011e-15,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.09999999999999898, 'action': 'accept'}]",True,False,2.5580889236622955e-17,0.0,1.2556160457743346e-32,6.135892432196209e-32,4,0,5.362377208939506e-15,False
88,B,clean,1.8318679906315083e-15,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.0999999999999984, 'action': 'accept'}]",True,False,1.470845594459421e-17,0.0,1.9963467579788942e-32,3.3144050636689087e-32,4,0,6.1151480704576706e-15,False
88,B,brightness_dark,5.828670879282072e-16,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.10000000000000059, 'action': 'accept'}]",True,False,1.795897821340302e-17,0.0,2.311115933264683e-33,4.3194997533959974e-32,4,0,6.02940316721653e-15,False
88,B,contrast_low,1.4988010832439613e-15,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.1000000000000015, 'action': 'accept'}]",True,False,3.4996096035004825e-17,0.0,1.0311248366316974e-32,2.8250984871730266e-32,4,0,5.6343818499726694e-15,False
88,B,gaussian_noise,5.551115123125783e-16,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.09999999999999945, 'action': 'accept'}]",True,False,1.7710378650550954e-17,0.0,2.732413108599391e-33,4.905102827111241e-33,4,0,2.914335439641036e-15,False
88,B,gaussian_blur,9.159339953157541e-16,0,0,"[{'active': [3, 4, 6, 9], 'minimum': 0.10000000000000092, 'action': 'accept'}]",True,False,1.0797318131902666e-17,0.0,5.574664409339616e-33,1.7634296053295628e-32,4,0,5.204170427930421e-15,False
89,A,clean,1.2212453270876722e-15,0,0,"[{'active': [4, 5], 'minimum': 0.3000000000000012, 'action': 'accept'}]",True,False,2.213239644704322e-17,0.0,1.3699681362223268e-32,1.0545971078289169e-32,2,0,4.163336342344337e-15,False
89,A,brightness_dark,4.996003610813204e-16,0,0,"[{'active': [4, 5], 'minimum': 0.3000000000000005, 'action': 'accept'}]",True,False,5.102621050728819e-18,0.0,1.492971865092371e-33,8.501551303339046e-33,2,0,2.7570538444858053e-15,False
89,A,contrast_low,1.1657341758564144e-15,0,0,"[{'active': [4, 5], 'minimum': 0.30000000000000115, 'action': 'accept'}]",True,False,1.0907359319250452e-17,0.0,7.707105201279312e-33,1.440986802921606e-32,2,0,6.846375318521799e-16,False
89,A,gaussian_noise,2.220446049250313e-15,0,0,"[{'active': [4, 5], 'minimum': 0.2999999999999979, 'action': 'accept'}]",True,False,1.9464002245003594e-17,0.0,4.567463233735854e-32,2.3245071649092505e-32,2,0,5.8281752440032214e-15,False
89,A,gaussian_blur,4.440892098500626e-16,0,0,"[{'active': [4, 5], 'minimum': 0.30000000000000043, 'action': 'accept'}]",True,False,5.6234384890457004e-18,0.0,1.7574110742533527e-33,1.3270861023043297e-32,2,0,2.3314683517128287e-15,False
89,B,clean,1.2212453270876722e-15,0,0,"[{'active': [4, 5], 'minimum': 0.3000000000000012, 'action': 'accept'}]",True,False,2.213239644704322e-17,0.0,1.3699681362223268e-32,1.0545971078289169e-32,2,0,4.163336342344337e-15,False
89,B,brightness_dark,1.6653345369377348e-15,0,0,"[{'active': [4, 5], 'minimum': 0.30000000000000165, 'action': 'accept'}]",True,False,2.5877400442819012e-17,0.0,1.9166388370383365e-32,1.0596376276052429e-33,2,0,3.83026943495679e-15,False
89,B,contrast_low,3.3306690738754696e-16,0,0,"[{'active': [4, 5], 'minimum': 0.2999999999999997, 'action': 'accept'}]",True,False,5.914416844472854e-19,0.0,1.2074677971646537e-34,1.1333270174695904e-32,2,0,2.3892924675787226e-15,False
89,B,gaussian_noise,1.7763568394002505e-15,0,0,"[{'active': [4, 5], 'minimum': 0.30000000000000177, 'action': 'accept'}]",True,False,2.1079019737146246e-17,0.0,2.778755797886209e-32,5.999422240043145e-32,2,0,4.846123502488808e-15,False
89,B,gaussian_blur,2.55351295663786e-15,0,0,"[{'active': [4, 5], 'minimum': 0.30000000000000254, 'action': 'accept'}]",True,False,2.812557580689927e-17,0.0,5.520798556207536e-32,1.5220865091735373e-32,2,0,3.1197266991966896e-15,False
90,A,clean,7.66053886991358e-15,0,0,"[{'active': [2, 3, 5, 9], 'minimum': 0.1, 'action': 'accept'}]",True,False,3.492541114221277e-17,0.0,1.624536954418324e-31,4.8283665558895624e-33,4,0,1.4127587988355117e-14,False
90,A,brightness_dark,1.1102230246251565e-14,0,0,"[{'active': [2, 3, 5, 9], 'minimum': 0.10000000000000017, 'action': 'accept'}]",True,False,8.269531803586137e-17,0.0,1.2513729813656065e-31,5.853021471614334e-32,4,0,2.2624263573689518e-14,False
90,A,contrast_low,4.496403249731884e-15,0,0,"[{'active': [2, 3, 5, 9], 'minimum': 0.09999999999999992, 'action': 'accept'}]",True,False,2.0835870841579368e-17,0.0,1.4241349159082178e-32,1.7190429386425133e-32,4,0,9.45473857935245e-15,False
