client,bank,context,D_actual,p50,p90,p95,maximum,percentile,above_p95
5,B,gaussian_noise,0.26157830566388324,0.1781076934955223,0.26593808467562846,0.290336000986002,0.40850365412469447,0.890625,False
5,B,gaussian_blur,0.24860856883165158,0.18172461554420505,0.2589487091409011,0.270767320835048,0.3892469869326177,0.859375,False
6,A,clean,0.2271059494393441,0.1298996899602301,0.18846002509918688,0.22594688657015513,0.2730713216198449,0.9453125,True
6,A,brightness_dark,0.1772738420322637,0.12888585300862634,0.17560075834215108,0.1992596562643942,0.3117175013493982,0.8984375,False
6,A,contrast_low,0.2733330333808876,0.12737526895514317,0.21037619701961902,0.22507736911012216,0.3254696506545843,0.9921875,True
6,A,gaussian_noise,0.1975650596919047,0.12895417511040647,0.20006154185628633,0.2175472946654539,0.3217798992556148,0.890625,False
6,A,gaussian_blur,0.2476501286870382,0.13454399990057947,0.19511552903584797,0.24392912389072524,0.27281706866111005,0.9609375,True
6,B,clean,0.2271059494393441,0.1336920758756694,0.2093918240215428,0.23331706734204652,0.3388740777292743,0.921875,False
6,B,brightness_dark,0.17814685711767766,0.13414638224487546,0.21002180797747647,0.23226509738278495,0.3043290735282298,0.7578125,False
6,B,contrast_low,0.2821176613522199,0.12574844739788874,0.2025091618648546,0.2300048715057596,0.4129283895693507,0.9921875,True
6,B,gaussian_noise,0.19928858826218088,0.12930779187512528,0.2068057716216256,0.23301662006762824,0.273850407056564,0.875,False
6,B,gaussian_blur,0.25064142106133797,0.13415447230720054,0.21215423569243144,0.23510661029290877,0.2960476131703506,0.96875,True
7,A,clean,0.17346569934194916,0.14947670643649222,0.23404491262576946,0.257425411456925,0.3032313203781811,0.6484375,False
7,A,brightness_dark,0.06671170494779019,0.14089574419227696,0.2201061607762992,0.2439326203799146,0.3110844589904732,0.0234375,False
7,A,contrast_low,0.1369127478647939,0.1296319410652259,0.21433831021450445,0.23107809964006074,0.3544122649331065,0.53125,False
7,A,gaussian_noise,0.16231839641059,0.15251962580458098,0.21129553691701827,0.2440151703342201,0.2856106371537338,0.5859375,False
7,A,gaussian_blur,0.14837909686805648,0.1470197869704603,0.2071479038308333,0.23850332587530534,0.32329812987717493,0.515625,False
7,B,clean,0.17346569934194916,0.14888994278186155,0.23235797442869519,0.2534661909990622,0.3041998626807915,0.65625,False
7,B,brightness_dark,0.06648183904869634,0.13657871816760914,0.2069477585291317,0.22890928609508748,0.3050183901080683,0.0234375,False
7,B,contrast_low,0.12167129283631306,0.1453502335042322,0.20730569944696994,0.2322648870388096,0.3299170256680108,0.3671875,False
7,B,gaussian_noise,0.16007187367986747,0.14511191276497237,0.2312799371011467,0.2551015657481947,0.2719121072850325,0.6484375,False
7,B,gaussian_blur,0.149757961093607,0.13644597330296152,0.218130131579096,0.25857654588258705,0.30352151898437263,0.6328125,False
8,A,clean,0.11465556071339873,0.16800427287972436,0.2545558840946792,0.26471295074271295,0.31142661914517117,0.1484375,False
8,A,brightness_dark,0.10347526572428056,0.15936377461244844,0.2308183051248327,0.25978308509445486,0.2981802316897929,0.1484375,False
8,A,contrast_low,0.1261438308808064,0.15908680193788827,0.23880660527276326,0.26553039519925997,0.3152765758037468,0.3125,False
8,A,gaussian_noise,0.11871509087813603,0.15689711614921908,0.21561320169587622,0.22926514278231816,0.26572537101094457,0.234375,False
8,A,gaussian_blur,0.12326921180077738,0.16462043266187654,0.24874246584992676,0.2580557544929486,0.3543446815791019,0.21875,False
